"GOFAR Data Export"
"Vehicle","From","To"
"New Car","01-Jan-2021","28-Mar-2021"
,,,,,,,,,,,,,,,,,,,,
"Start Odometer","End odometer","Total distance recorded","Business distance recorded","Business use percentage",,,,,,,,,,,,,,,
"39185","41309","2124.41","0.00","0.00",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Business trip method","Distance [km]","Rate","Total Claimable",,,,,,,,,,,,,,,,
"ATO","0.00","0.68","0.00",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Type,Trip Index,Start Time,End Time,Fuel (L),Cost,Price per Litre,Start Location,End Location,Average Speed (km/h),Distance (km),Economy (L/100km),CO2 (kg),Acceleration Score,Braking Score,Business,Tags,Odometer Start (km),Odometer End (km),% difference between calculated odometer and actual odometer
"Trip","1","08-Mar-2021 20:26","08-Mar-2021 20:30","0.064","0.06","1.000","Port Kennedy","Port Kennedy","0","0","999.00","0.14","","","","","39185","39185","0.00%"
"Trip","2","09-Mar-2021 10:00","09-Mar-2021 10:07","0.332","0.33","1.000","Port Kennedy","","19","2.00","16.59","0.76","","","","","39185","39187","0.00%"
"Trip","3","09-Mar-2021 10:11","09-Mar-2021 10:12","0.031","0.03","1.000","","","0","0","999.00","0.07","","","","","39187","39187","0.00%"
"Trip","4","09-Mar-2021 11:44","09-Mar-2021 11:59","1.136","1.14","1.000","Port Kennedy","Baldivis","39","9.60","11.83","2.62","","","","","39187","39197","0.00%"
"Trip","5","09-Mar-2021 12:08","09-Mar-2021 12:24","1.193","1.19","1.000","Baldivis","Port Kennedy","39","10.59","11.27","2.75","","","","","39197","39207","0.00%"
"Trip","6","09-Mar-2021 12:30","09-Mar-2021 12:32","0.059","0.06","1.000","Port Kennedy","Port Kennedy","0","0","999.00","0.13","","","","","39207","39207","0.00%"
"Trip","7","09-Mar-2021 15:08","09-Mar-2021 15:32","1.047","1.05","1.000","Port Kennedy","Warnbro","10","4.02","26.02","2.41","","","","","39207","39211","0.00%"
"Trip","8","09-Mar-2021 15:36","09-Mar-2021 16:08","0.920","0.92","1.000","Warnbro","Warnbro","4","1.88","48.86","2.12","","","","","39211","39213","0.00%"
"Trip","9","09-Mar-2021 16:23","09-Mar-2021 16:34","0.543","0.54","1.000","Warnbro","Port Kennedy","11","2.15","25.31","1.25","74.58","62.57","","","39213","39215","0.00%"
"Trip","10","09-Mar-2021 17:16","09-Mar-2021 17:31","0.851","0.85","1.000","Port Kennedy","Port Kennedy","21","5.08","16.74","1.96","70.96","68.83","","","39215","39220","0.00%"
"Trip","11","09-Mar-2021 17:36","09-Mar-2021 17:49","0.626","0.63","1.000","Port Kennedy","Port Kennedy","25","5.49","11.40","1.44","81.63","75.06","","","39220","39226","0.00%"
"Trip","12","09-Mar-2021 19:13","09-Mar-2021 19:42","1.503","1.50","1.000","Port Kennedy","Port Kennedy","23","11.40","13.19","3.47","74.57","69.68","","","39226","39237","0.00%"
"Trip","13","09-Mar-2021 19:47","09-Mar-2021 19:55","0.440","0.44","1.000","Port Kennedy","Port Kennedy","31","4.12","10.68","1.01","80.07","73.51","","","39237","39241","0.00%"
"Trip","14","09-Mar-2021 20:16","09-Mar-2021 20:37","1.241","1.24","1.000","Port Kennedy","Port Kennedy","39","13.54","9.17","2.86","81.68","74.73","","","39241","39255","0.00%"
"Trip","15","09-Mar-2021 20:46","09-Mar-2021 20:54","0.443","0.44","1.000","Port Kennedy","Port Kennedy","26","3.41","13.00","1.02","76.12","66.55","","","39255","39258","0.00%"
"Trip","16","09-Mar-2021 20:57","09-Mar-2021 21:13","1.085","1.08","1.000","Port Kennedy","Port Kennedy","44","11.61","9.34","2.50","83.00","75.93","","","39258","39270","0.00%"
"Trip","17","09-Mar-2021 21:27","09-Mar-2021 21:38","0.627","0.63","1.000","Port Kennedy","Port Kennedy","28","4.93","12.72","1.44","77.06","70.47","","","39270","39275","0.00%"
"Trip","18","10-Mar-2021 10:39","10-Mar-2021 10:47","0.411","0.41","1.000","Port Kennedy","Port Kennedy","15","1.94","21.16","0.94","66.23","64.46","","","39275","39277","0.00%"
"Trip","19","10-Mar-2021 10:51","10-Mar-2021 10:55","0.184","0.18","1.000","Port Kennedy","Port Kennedy","5","0.44","42.30","0.42","82.13","55.32","","","39277","39277","0.00%"
"Trip","20","10-Mar-2021 11:19","10-Mar-2021 11:38","0.934","0.93","1.000","Port Kennedy","Port Kennedy","26","8.12","11.50","2.15","77.23","72.54","","","39277","39285","0.00%"
"Trip","21","10-Mar-2021 16:22","10-Mar-2021 17:12","2.785","2.78","1.000","Port Kennedy","Port Kennedy","28","23.64","11.78","6.43","72.34","69.69","","","39285","39309","0.00%"
"Trip","22","10-Mar-2021 17:28","10-Mar-2021 18:14","2.543","2.54","1.000","Port Kennedy","Port Kennedy","36","28.23","9.01","5.87","78.79","73.58","","","39309","39337","0.00%"
"Trip","23","10-Mar-2021 18:38","10-Mar-2021 18:41","0.176","0.18","1.000","Port Kennedy","Port Kennedy","30","1.61","10.93","0.40","78.41","72.89","","","39337","39339","0.00%"
"Trip","24","10-Mar-2021 20:47","10-Mar-2021 20:50","0.082","0.08","1.000","Port Kennedy","Port Kennedy","0","0","999.00","0.19","100.00","100.00","","","39339","39339","0.00%"
"Trip","25","10-Mar-2021 23:39","10-Mar-2021 23:54","1.025","1.03","1.000","Port Kennedy","","48","11.88","8.63","2.36","85.39","79.36","","","39339","39351","0.00%"
"Trip","26","10-Mar-2021 23:59","11-Mar-2021 00:13","0.972","0.97","1.000","","","50","11.30","8.61","2.24","87.85","77.50","","","39351","39362","0.00%"
"Trip","27","11-Mar-2021 12:28","11-Mar-2021 13:03","2.367","2.37","1.000","","","49","29.07","8.14","5.46","79.06","75.73","","","39362","39391","0.00%"
"Trip","28","11-Mar-2021 16:15","11-Mar-2021 16:21","0.338","0.34","1.000","","","17","1.71","19.78","0.78","68.50","66.63","","","39391","39393","0.00%"
"Trip","29","11-Mar-2021 16:45","11-Mar-2021 16:47","0.054","0.05","1.000","","","8","0.17","31.13","0.12","100.00","33.49","","","39393","39393","0.00%"
"Trip","30","11-Mar-2021 16:51","11-Mar-2021 16:53","0.061","0.06","1.000","","","6","0.18","33.44","0.14","100.00","100.00","","","39393","39393","0.00%"
"Trip","31","11-Mar-2021 17:07","11-Mar-2021 17:17","0.496","0.50","1.000","","","29","4.57","10.85","1.14","76.33","73.44","","","39393","39398","0.00%"
"Trip","32","11-Mar-2021 17:21","11-Mar-2021 17:29","0.377","0.38","1.000","","","22","2.87","13.17","0.87","70.87","73.58","","","39398","39401","0.00%"
"Trip","33","11-Mar-2021 17:40","11-Mar-2021 17:47","0.373","0.37","1.000","","","28","3.54","10.53","0.86","78.47","74.75","","","39401","39404","0.00%"
"Trip","34","11-Mar-2021 18:00","11-Mar-2021 18:12","0.611","0.61","1.000","","","32","5.90","10.34","1.41","76.57","73.27","","","39404","39410","0.00%"
"Trip","35","11-Mar-2021 18:49","11-Mar-2021 19:00","0.542","0.54","1.000","","","28","5.04","10.75","1.25","78.72","74.68","","","39410","39415","0.00%"
"Trip","36","11-Mar-2021 19:05","11-Mar-2021 19:19","0.816","0.82","1.000","","","36","8.73","9.34","1.88","80.50","72.79","","","39415","39424","0.00%"
"Trip","37","11-Mar-2021 19:25","11-Mar-2021 19:31","0.250","0.25","1.000","","","15","1.50","16.64","0.57","89.89","64.36","","","39424","39425","0.00%"
"Trip","38","11-Mar-2021 19:41","11-Mar-2021 21:01","3.664","3.66","1.000","","","28","37.68","9.73","8.46","78.44","71.84","","","39425","39463","0.00%"
"Trip","39","11-Mar-2021 21:43","11-Mar-2021 21:56","0.841","0.84","1.000","","","59","12.32","6.82","1.94","95.19","83.80","","","39463","39475","0.00%"
"Trip","40","11-Mar-2021 22:05","11-Mar-2021 22:18","1.000","1.00","1.000","","","53","11.32","8.83","2.30","83.39","78.12","","","39475","39487","0.00%"
"Trip","41","12-Mar-2021 12:11","12-Mar-2021 12:17","0.387","0.39","1.000","","","22","2.12","18.30","0.89","74.16","68.65","","","39487","39489","0.00%"
"Trip","42","12-Mar-2021 12:27","12-Mar-2021 12:33","0.352","0.35","1.000","","","22","2.17","16.19","0.81","75.83","66.24","","","39489","39491","0.00%"
"Trip","43","12-Mar-2021 17:11","12-Mar-2021 17:16","0.336","0.34","1.000","","","22","1.71","19.60","0.77","64.02","67.87","","","39491","39493","0.00%"
"Trip","44","12-Mar-2021 17:24","12-Mar-2021 17:55","1.715","1.72","1.000","","","39","20.24","8.48","3.96","78.30","74.49","","","39493","39513","0.00%"
"Trip","45","12-Mar-2021 18:44","12-Mar-2021 19:16","1.689","1.69","1.000","","","39","20.80","8.12","3.90","83.26","76.49","","","39513","39534","0.00%"
"Trip","46","12-Mar-2021 19:19","12-Mar-2021 19:37","1.027","1.03","1.000","","","43","12.75","8.05","2.37","81.68","76.60","","","39534","39546","0.00%"
"Trip","47","12-Mar-2021 19:54","12-Mar-2021 21:01","3.343","3.34","1.000","","","37","40.85","8.19","7.72","79.01","74.19","","","39546","39587","0.00%"
"Trip","48","12-Mar-2021 21:21","12-Mar-2021 21:27","0.229","0.23","1.000","","","13","1.25","18.33","0.52","66.71","52.29","","","39587","39588","0.00%"
"Trip","49","12-Mar-2021 22:32","12-Mar-2021 22:35","0.172","0.17","1.000","","","34","1.62","10.64","0.39","91.52","79.94","","","39588","39590","0.00%"
"Trip","50","13-Mar-2021 09:40","13-Mar-2021 10:44","4.002","4.00","1.000","","","51","53.58","7.47","9.24","79.00","77.73","","","39590","39644","0.00%"
"Trip","51","13-Mar-2021 12:03","13-Mar-2021 12:03","0.011","0.01","1.000","","","1","0.00","312.32","0.02","100.00","100.00","","","39644","39644","0.00%"
"Trip","52","13-Mar-2021 12:55","13-Mar-2021 13:08","0.822","0.82","1.000","","","27","5.93","13.86","1.89","77.53","70.57","","","39644","39650","0.00%"
"Trip","53","13-Mar-2021 13:50","13-Mar-2021 14:33","3.265","3.27","1.000","","","67","47.75","6.84","7.54","84.96","81.93","","","39650","39697","0.00%"
"Trip","54","13-Mar-2021 14:40","13-Mar-2021 15:02","0.742","0.74","1.000","","","8","3.06","24.26","1.71","82.32","66.89","","","39697","39700","0.00%"
"Trip","55","13-Mar-2021 16:49","13-Mar-2021 16:58","0.528","0.53","1.000","","Port Kennedy","26","3.84","13.77","1.22","73.24","70.14","","","39700","39704","0.00%"
"Trip","56","13-Mar-2021 17:05","13-Mar-2021 18:07","2.841","2.84","1.000","Port Kennedy","Port Kennedy","30","30.84","9.21","6.56","80.17","73.28","","","39704","39735","0.00%"
"Trip","57","13-Mar-2021 18:23","13-Mar-2021 19:04","1.929","1.93","1.000","Port Kennedy","Port Kennedy","33","22.38","8.62","4.45","86.87","75.75","","","39735","39757","0.00%"
"Trip","58","13-Mar-2021 19:07","13-Mar-2021 19:31","1.294","1.29","1.000","Port Kennedy","Port Kennedy","39","15.52","8.34","2.98","84.69","77.37","","","39757","39773","0.00%"
"Trip","59","13-Mar-2021 19:36","13-Mar-2021 19:49","0.473","0.47","1.000","Port Kennedy","Port Kennedy","20","4.26","11.13","1.09","82.23","71.15","","","39773","39777","0.00%"
"Trip","60","13-Mar-2021 19:52","13-Mar-2021 20:46","2.540","2.54","1.000","Port Kennedy","Port Kennedy","36","32.00","7.94","5.86","85.39","76.54","","","39777","39809","0.00%"
"Trip","61","13-Mar-2021 21:14","13-Mar-2021 21:27","0.774","0.77","1.000","Port Kennedy","Port Kennedy","43","9.29","8.34","1.78","88.52","80.29","","","39809","39819","0.00%"
"Trip","62","13-Mar-2021 21:32","13-Mar-2021 21:50","0.756","0.76","1.000","Port Kennedy","Port Kennedy","28","8.20","9.22","1.74","81.01","75.44","","","39819","39827","0.00%"
"Trip","63","13-Mar-2021 22:08","13-Mar-2021 22:11","0.170","0.17","1.000","Port Kennedy","Port Kennedy","32","1.59","10.69","0.39","84.82","72.36","","","39827","39828","0.00%"
"Trip","64","14-Mar-2021 11:44","14-Mar-2021 11:50","0.347","0.35","1.000","Port Kennedy","Port Kennedy","19","1.77","19.61","0.80","73.31","66.32","","","39828","39830","0.00%"
"Trip","65","14-Mar-2021 11:59","14-Mar-2021 12:00","0.051","0.05","1.000","Port Kennedy","Port Kennedy","0","0","999.00","0.11","100.00","100.00","","","39830","39830","0.00%"
"Trip","66","14-Mar-2021 12:11","14-Mar-2021 12:27","0.447","0.45","1.000","Port Kennedy","Port Kennedy","7","1.82","24.61","1.03","75.23","67.06","","","39830","39832","0.00%"
"Trip","67","14-Mar-2021 14:27","14-Mar-2021 14:43","1.058","1.06","1.000","Port Kennedy","Rockingham","32","8.66","12.21","2.44","74.21","72.10","","","39832","39841","0.00%"
